Text,Summary
"hours watching it fly around the house, and soon he developed a deep love for birds.

Over time, Taro began to rescue and care for j

impressed by his kindness and dedication,

njured birds in the village. His parents Were
creatures,

and they supported his efforts to help these

Eventually, Taro's reputation as a skilled bird h

ealer spread throughout the Village. People
came from far and wide to bring him injured

birds, and Taro worked tirelessly to nurse each
one back to health.

As Taro grew older, he became known as the

and deep love for these creatures inspired ot

""bird whisperer” of the village. His gentle touch
around them.

hers to take better care of the natural world

Years passed, and Taro continued to care for injured birds, Though he never became rich or
famous, he knew that he had made a difference in the lives of countless creatures, and that
was enough for him.

And so, the bird whisperer of the village continued his work, day after day, year after year,
bringing love and healing to all the creatures that crossed his path.","
hers to take better care of the natural world

Years passed, and Taro continued to care for injured birds, Though he never became rich or
famous, he knew that he had made a difference in the lives of countless creatures, and that
was enough for him."
"Once upon a time, in a small village nestled in the mountains, there was a young boy named
Taro, He lived with his family in a modest home and spent his days helping his parents tend

to their crops,

One day, while out in the fields, Taro noticed a small, injured bird lying on the ground. He
gently picked it up and brought it back to his home, where he and his family nursed it back
to health.

As the bird recovered, Taro grew increasingly fascinated by its beauty and grace. He spent
hours watching it fly around the house, and soon he developed a deep love for birds.

Over time, Taro began to rescue and care for injured birds in the village. His parents were
impressed by his kindness and dedication, and they supported his efforts to help these
creatures,

Eventually, Taro’s reputation as a skilled bird healer spread throughout the village. People
came from far and wide to bring him injured birds, and Taro worked tirelessly to nurse each

one back to health,

As Taro grew older, he became known as the ""bird whisperer” of the village, His gentle touch
and deep love for these creatures inspired others to take better care of the natural world

around them,","People
came from far and wide to bring him injured birds, and Taro worked tirelessly to nurse each

one back to health,

As Taro grew older, he became known as the ""bird whisperer” of the village, His gentle touch
and deep love for these creatures inspired others to take better care of the natural world

around them,"
"Slices of Life (A Short Story)
Dr NK?

The vst of ur iy: bandh lice wete exe acing fe ec, oune
sit io din te ptf as emo en ed
Theat ld vist etry to sear 0 hae 2 fel of a ne nda eer
tsps wile wig oot NK tide hoo wa ANE ide las oy
‘om my mete as ting boc the mae poe ""I'm yours alse You
sth poagd cameras eh he cnded oy eros ong Wl nd ok re
tha Scone osc hat hala pone il Hoy CaaS sappy oid
te dig bes hor and sare ling me “Vou ko Your an yeah Jet Is
Montes cing agra hn ce iy. he ay
‘upton pra e'l bom tb acer ur sgh Nr Sah Thee
{Skea mer of tings on pas er Even Res has fle ed er se tel
{ete pros. mt ging ot her con ey whe becomes Do Jo kw how
She to sey pane eo fo et tape mare Yo Kes” tage She terse
tos wn pon fr ang lowe rin"" When smo ping ah he wea
sting Aah cling pe teil ed des of your Uncle Nan nem
trator lok ae ths thes moc You aly range efor ao he Jour
‘ot ad an etary her he Geen Fpl tran ens ke
ce yeas She wan ying gt ar 08 Ga. eaer Carnal o a nan ese
stay nian eo or on cranes ew mon ck Ht ona ted

ns, He ld, “eat Movs tn rie ners an are Mer dos a
‘rend polen Dae pat ein! (Ca hn wanane) Oe a
‘Som beLep on amaging ior eer ducton Trang te Spas Sod caus of
Sis fs spy th"" ARera et pase, my ing lke pomp bis bore
""ao wh drs and quiets ao ae fe fay» A pase
‘demon fae Theta don't mer mach. When mh he dsr aS,
Tee ary eth pn hy a tent oa ly ak hr he
sass hes Mio Esha dome PAD Sh el nh ate
‘ea srs fant” He nk te en itd thr who le a dl stn nabs
‘Saran! ope sum nd suid “Deu ber tat dent Yui many is
‘hsvcrand beng Tne pend fr coaon ml pep fort et ie me
ea and only hsb wl paras be al go oh. Tat Bt oe ay
{uli ase wh is gong jo ht neering Can. Ty tunes WHS
‘eon coming mh eft ssn range osc tage.","mt ging ot her con ey whe becomes Do Jo kw how
She to sey pane eo fo et tape mare Yo Kes” tage She terse
tos wn pon fr ang lowe rin"" When smo ping ah he wea
sting Aah cling pe teil ed des of your Uncle Nan nem
trator lok ae ths thes moc You aly range efor ao he Jour
‘ot ad an etary her he Geen Fpl tran ens ke
ce yeas She wan ying gt ar 08 Ga. eaer Carnal o a nan ese
stay nian eo or on cranes ew mon ck Ht ona ted

ns, He ld, “eat Movs tn rie ners an are Mer dos a
‘rend polen Dae pat ein! (Ca hn wanane) Oe a
‘Som beLep on amaging ior eer ducton Trang te Spas Sod caus of
Sis fs spy th"" ARera et pase, my ing lke pomp bis bore
""ao wh drs and quiets ao ae fe fay» A pase
‘demon fae Theta don't mer mach."
"A Story Of True Sincere Love (English Sonnet)

(for Annelize)

A story of true sincere love | have to tell
how a lovely maiden had been my own,
still after many years | am under her spell
but at times away from her! am alone

where many a day to God | do humbly pray
that He will keep and protect her against all ill
where she wanders the earth each sunny day,
will protect her in His omnipotent will

yet love does its own battles raging fight
where even destiny to its great power do fall
and when | do dream my dreams at night

she is a significant part of them all

where daily still nearer to her | do grow
while of the extent of her love | do know.

© Gert Strydom

Gert Strydom","A Story Of True Sincere Love (English Sonnet)

(for Annelize)

A story of true sincere love | have to tell
how a lovely maiden had been my own,
still after many years | am under her spell
but at times away from her! am alone

where many a day to God | do humbly pray
that He will keep and protect her against all ill
where she wanders the earth each sunny day,
will protect her in His omnipotent will

yet love does its own battles raging fight
where even destiny to its great power do fall
and when | do dream my dreams at night

she is a significant part of them all

where daily still nearer to her | do grow
while of the extent of her love | do know."
"The Whale

There are between 79 and 84 different species of whale known to
man. They are found in the Northern and Southern Hemispheres
and never meet or breed together. Their migration is timed so
that they are never in breeding areas at the same time.

Whales are large, intelligent animals. They feed on small marine
life called krill.

The Blue Whale is the largest animal on Earth; it is larger than any
of the dinosaurs! A single adult Blue Whale can eat 36,000kg of
krill per day. They catch their food mainly by diving and can
descend to depths of approximately 500 meters (1640 feet). Its
heart is as big as a car, and its tongue can weigh as much as an
elephant.

While fish swim by moving their tails from left to right, whales swim
by moving their tails up and down

© www.englishunite.com.","
While fish swim by moving their tails from left to right, whales swim
by moving their tails up and down

© www.englishunite.com."
"Once, there were a hare and a tortoise. They lived ina forest. They were fast

friends. The hare always laughed at the tortoise, One day, the hare forced the
tortoise to runa race. The tortoise accepted the challenge. Therace started on

eet eee f
(¢ 4

) .
He disa one ayt ought totake rest fora while.
Perea ught

He lay down undera shady tree @n@ was fas aco he tortoisewalked
slowly. He did not Cte een naReRERBRER: sleepin the way and passed

silently. At last, he reached the fixed place after a longtime. The hare woke up

and ran very fast. But he had to face defeat to see the tortoise there. Itisa fact
priedhatha all

Moral: Pride hatha fall.","The hare always laughed at the tortoise, One day, the hare forced the
tortoise to runa race. Perea ught

He lay down undera shady tree @n@ was fas aco he tortoisewalked
slowly."
"Se. is a
tie pty r

THE STORY OF KING LEAR AND HIS THREE
DAUGHTERS.

(FROM SHAKESPEARE.)

LONG time ago, when the island of Great

Britain was not so large and prosperous a
country as now, but was a wild and thinly set-
tled island, divided into several kingdoms, there
reigned over one of these dominions an old mon-
arch called Lear. He was one of the mightiest
of the British kings, and though he had a kind
and generous heart, he was so passionate that
when one of his fits of rage possessed him, his
bravest and wisest counselors could not dissuade
him from any wild or frantic purpose which
seized him.

Lear had three children, all of them daughters,
and all very beautiful. The eldest was named
Goneril; the second, Regan; and the youngest,
Cordelia. Goneril and Regan were proud and
haughty beauties. They trod the halls of their
father’s palace as if they were already queens.
When any story of suffering or complaint of
wrong arose from the people, they always took","When any story of suffering or complaint of
wrong arose from the people, they always took"
"Brmrnm

The Lion

LUons ive in savannas, grasslands, bushes and woodiands. they
‘re the most socal ofall he big Cals, and are the only cats fo Ive
in family groups called prides. @ pride, tons hunt prey, raise
‘cubs and defend their feritory together. Hunting is generaily
done in the dark by the ionesses.

They hove very few sweat glands so they will rest during the doy
‘ond become active at night when it's Cooter. They enjoy relaxing
‘and can spend between sixteen and twenty hours each day
resting and sleep.

When the fonesses have a successful hunt the males wil eat frst
followed by the females and then the cubs. The mainjob of the
mate's defending the prides’ temtary. A male's loud roar, usually
heard after sunset, con carry os for 0: 8 kilometers (5 miles) They
roar to communicate ther postion 10 other prides. The older the
mate lon becomes, he darker hs mane wil become,

‘A lon wilrun ftom many creatures, including elephanis. they can

run for short distances at 80 lilometers per hour (SOmph) and leap
(8 for os 1! meters (36 feet)","A male's loud roar, usually
heard after sunset, con carry os for 0: 8 kilometers (5 miles) They
roar to communicate ther postion 10 other prides. The older the
mate lon becomes, he darker hs mane wil become,

‘A lon wilrun ftom many creatures, including elephanis."
"How Akbar Meet
Birbal

Akbar loved hunting and used
to escape to go for hunting
even from his studies. Well,
later he became

a better rider and hunter than
any one of his courtiers. One
day when Akbar went for
hunting, he and

his some of the courtiers went

so fast that the e others
behind. As the","One
day when Akbar went for
hunting, he and

his some of the courtiers went

so fast that the e others
behind."
"-proof foundation for a p
Liss complexion with supe

This comfortable foundation feels
lightweight and breathable, and
gives an even-toned, beautifully
smooth complexion that looks and
feels fresh all day long. It can be relied
upon to stay perfect; weather-proof
and transfer-proof, it won't cake or
flake on dry skin, nor slide or shine
onoily skin,

for Best Results: Shake before use
Blend on smoothly and evenly wit’
Jour fingers or a sponge.","-proof foundation for a p
Liss complexion with supe

This comfortable foundation feels
lightweight and breathable, and
gives an even-toned, beautifully
smooth complexion that looks and
feels fresh all day long."
"O. VT ee i ed a
oe

4. WHAT IS BEPANTHEN® CREAM AND WHAT IS IT USE
Bepanthen Cream contains the active ingredient dexpant
in a highly absorbant, slightly fatty emulsion. The active
substance dexpanthenol is converted in the skin into the

vitamin pantothenic acid and supports the development and —™
regeneration of the skin from within. The cream has a soothing
and cooling effect thanks to its high moisture content.
Bepanthen Cream is used for treating overstressed and irritated

D FOR?
henol

but intact skin associated with:

. Redness and sunburn j
Pressure marks e
Mild burns

(e.g. on the hands, elbows OF feet)

Rough areas of skin
ng eg a i ence a ee USED?","Redness and sunburn j
Pressure marks e
Mild burns

(e.g. on the hands, elbows OF feet)

Rough areas of skin
ng eg a i ence a ee USED?"
"@ The mighty sun god,

@ The sun god was sometimes

@ Myths say that the sun god

The gods ol.

Reypt |

he

OOROTLRUUAGRUUC CORREO EES
() =

Ra-Atum, was called many
different names by ancient
Egyptians.

pictured as a scarab beetle.
This is because a scarab beetle
rolls a ball of dung before it,
as the ball of the sun rolls
across the sky.

A The blue scarab beetle Khephri is one of the
many forms of the sun god. This amulet was
made over 3000 years ago.

has a secret name, known
only to himself, which was
the key to all his power.

@ The ancient Egyptians believed that part of the spirit of a god could live on

Earth in the body of an animal. This is why their gods are pictured as
humans with animal heads.

@ Hathor or Sekhmet was the daughter and wife of Ra-Atum. She could take

on the form of a terrifying lioness or cobra to attack and punish enemies of

the sun god.

@ Osiris was the son of Ra-Atum. He became king of Egypt and later, ruler of

the underworld Kingdom of the Dead.

@ Osiris’s brother, Seth, represented evil in the universe. He hatched a

wicked plot to murder Osiris and take the crown of Egypt for himself.","
@ The ancient Egyptians believed that part of the spirit of a god could live on

Earth in the body of an animal. She could take

on the form of a terrifying lioness or cobra to attack and punish enemies of

the sun god. He hatched a

wicked plot to murder Osiris and take the crown of Egypt for himself."
"+ *

‘Smart, emotional, intriguing and
compelling - I loved it!’
JILL MANSELL

Dannie Kohan has held true to her meticulously crafted five-year
plan since she understood the concept. On the day she nails the most
important interview of her career and gets engaged to the perfect man,
she’s well on her way to fulfilling her life goals.

But that night Dannie falls asleep and dreams of a night five years in
the future where she’s engaged to another man. It was just a dream,
she tells herself when she wakes, but it felt so real.
Determined to ignore the odd experience, she files it away in the

back of her mind. That is, until five years later, when Dannie *

meets the man from her dream...

Perfect for fans of Me Before You and One Day, this heart-
breaking story of love, loss and life will have you questioning
everything you thought you knew about destiny.

‘I loved In Five Years. A beautiful, intelligent story
about friendships and love’
CLARE MACKINTOSH

‘Full of twists and turns, this heart-breaking yet
uplifting story about love and friendship is
one of this year’s must-reads’","A beautiful, intelligent story
about friendships and love’
CLARE MACKINTOSH

‘Full of twists and turns, this heart-breaking yet
uplifting story about love and friendship is
one of this year’s must-reads’"
"toman Empire was defeated by the Russians after a

@ In 1774, the Turkish Ot
low Russian ships to pass through the

six-year war, and was forced to al
Straits from the Black Sea to the Mediterranean.

@ During the 1800s, the Ottoman Empire grew weaker and weaker and was
called ‘the Sick Man of Europe’ by foreign statesmen.

@ 1n 1829, the Greeks fought a successful war of independence against the
Turks. Other Balkan states followed suit.

@ During the 1800s, the Turks fought four wars
against Russia and lost three. Russia gained
Bessarabia (now Moldova and
Ukraine) and control of the

Black Sea.

@ Trying to stop the empire's

decline, Sultan Abdul-Hamid
II crushed opposition
violently in the 1890s.

@ The Young Turks were

students and army officers
who, in 1908, revolted

against Abdul-Hamid and
then ruled through his
brother Muhammad V.

4A sumptuously dressed Ottoman
pasha, or high-ranking official
(centre), with his noblemen","
@ The Young Turks were

students and army officers
who, in 1908, revolted

against Abdul-Hamid and
then ruled through his
brother Muhammad V."
"World War I~

eo0002ee8e00e008 2° 2 J
eoccccceseoeseoseeeee? odal

@ World War I (1914-1918), the Great War, was the worst the world had seen
(World War II would prove to be even worse), killing ten million troops.

@ The war was caused by the rivalry between European powers in the early
1900s. The assassination of Franz Ferdinand in Sarajevo in the Balkans, on
28 June, 1914, made Austria start a war with Serbia. Russia came to Serbia’s
defence. Germany declared war on Russia and her ally France on 3 August.

@ The Germans had a secret plan (the ‘Schlieffen plan’) for invading France.
Instead of tackling the French head-on, as expected, they swept round to
the north through neutral Belgium. This outrage drew Britain into the war.",Germany declared war on Russia and her ally France on 3 August.
"il

Chapter Three

I wake up slowly. How long have I been asleep? I roll over and
look at the clock on the nightstand: 10:59 p.m, I stretch my legs,
Did David move me to bed? The sheets feel crisp and cool around
me, and I weigh just closing my eyes again and drifting back to
sleep—but then I'd miss this, our engagement night, and | force
them open, We still have more champagne to drink, and we need
to have sex, That's a thing you should do on the night you get
engaged. I yawn, blinking, and then sit up, my breath exiting my
body in a rush, Because I'm not in our bed. I'm not even in out
‘partinent, Tm wearing a formal dress, red, beaded around the

Bs: -; I'm somewhere I've never been before.
tell you I think I'm dreaming, but I don’t, not really.

men my - and arms and the frenetic beating of my OW""
‘eart, Was I kidn

! take in m apped?
in a loft

Ica

. Y Surroundings, On further glance, I realize I'm
4 D; i""
as : Pe The bed I'm in is flush up against hoon

ows that appear to orient mein... Long Island CHY

! look out d
,  ae8perat Pa spot
the Empire coal i fs tome anchoring image. And then I nie","Y Surroundings, On further glance, I realize I'm
4 D; i""
as : Pe The bed I'm in is flush up against hoon

ows that appear to orient mein... Long Island CHY

! look out d
,  ae8perat Pa spot
the Empire coal i fs tome anchoring image."
"Chapter Two

The Mysterious Visitor

Itwas an emergency meeting of all of the firm's members.
As we squeezed into the main boardroom, \ could tell that
there was a serious problem. Old man Harding wes the
first to speak to the assembled mass-

“\'m afraid | have some very bad news. Julian Mantle
suffered a severe heart attack in court yesterday while he
was arguing the Air Atlantic case- He is currently in the
intensive care unit, but his physicians have informed me
that his condition has now stabilized and he will recover
However, Julian has made a decision, one that | think you
all must know. He has decided to leave our family and to
give up his law practice. He will not be returning to the
firm.”

| was shocked. | knew he was having his share of trou-
bles, but | never thought he would quit. As well, after all
that we had been through, | thought he should have had
the courtesy to tell me this personally. He wouldn't even
let me see him at the hospital. Every time | dropped by,

the nurses had been instructed to tell me that he was

———","As well, after all
that we had been through, | thought he should have had
the courtesy to tell me this personally. Every time | dropped by,

the nurses had been instructed to tell me that he was

———"
"SiGe

The Monk Who Sold His Ferrari 17
d be my constant companion
less traditions of the East.”

dered aloud, unable to

a large rucksack that woul
as | ventured into the time
“Was it hard to leave?” | won

contain my curiosity.
he easiest thing | hav

“Actually, it was
decision to give uP MY practice and all my worldly posses-
Ibert Camus once said that ‘Real

sions felt natural. Al
generosity toward the future consists in giving all to what

hat’s exactly what | did. | knew | had to
change - so ! decided to listen to my heart and do it ina
very dramatic way. My life became so much simpler and
meaningful when | left the baggage of my past behind.
The moment | stopped spending so much time chasing
the big pleasures of life, | began to enjoy the little ones,
like watching the stars dancing in a moonlit sky or soak-
ing in the the sunbeams of a glorious summer morning.
And India is such an intellectually stimulating place that |
rarely thought of all | had left.”

Those initial meetings with the learned and the schol-
arly of that exotic culture, though intriguing, did not yield
the knowledge for which Julian hungered. The wisdom
that he desired and the practical techniques that he
oped would change the quality of his life continu x

ude him in those early days of his odys 2)

e ever done. The

is present.” Well, t","The wisdom
that he desired and the practical techniques that he
oped would change the quality of his life continu x

ude him in those early days of his odys 2)

e ever done."
"- save for the neighboring trees and the grass of the

ANTICIPATION

The circus arrives without warning.
No announcements precede it, no paper notices

on downtown posts and billboards, no mentions or
advertisements in local newspapers. It is simply there,

when yesterday it was not.
The towering tents are striped in white and black,

no golds and crimsons to be seen. No color at all,

surrounding fields. Black-and-white stripes on grey
sky; countless tents of varying shapes and sizes, with
an elaborate wrought-iron fence encasing them in
a colorless world. Even what little ground is visible
from outside is black or white, painted or powdered,
or treated with some other circus trick.
But it is not open for business. Not just yet.
Within hours everyone in town has heard about
it, By afternoon the news has spread several towns
over, Word of mouth is a more effective method of
advertisement than typeset words and exclamation
points on paper pamphlets or posters. It is impressive
and unusual news, the sudden appearance of a mys-
terious circus, People marvel at the staggering height
of the tallest tents. They stare at the clock that sits
just inside the gates that no one can properly describe.","Within hours everyone in town has heard about
it, By afternoon the news has spread several towns
over, Word of mouth is a more effective method of
advertisement than typeset words and exclamation
points on paper pamphlets or posters. It is impressive
and unusual news, the sudden appearance of a mys-
terious circus, People marvel at the staggering height
of the tallest tents."
